song,artist,year,type,gender,duration,language,tabber,source,date,difficulty,specialbooks
Everybody (Backstreet's Back) (Radio Edit),Backstreet Boys,1997,Group,male,00:03:40,english,Manuel,new,20241015,3.395,"halloween,temp"
Ex's & Oh's,Elle King,2014,Person,female,00:03:32,english,Manuel,off,20220906,2.051,"regular,womens"
Express Yourself,Madonna,1989,Person,female,00:03:56,english,Manuel,new,20230620,1.249,pride
Eye of the Tiger,Survivor,1982,Group,male,00:04:05,english,Manuel,old,20210914,4.061,regular
Fairytale Of New York (feat. Kirsty MacColl),The Pogues,1988,Group,duet,00:04:00,english,Manuel,new,20221206,2.805,xmas
Faith,George Michael,1987,Person,male,00:02:28,english,Manuel,old,20211005,3.358,"regular,pride"
Fast Car,Tracy Chapman,1988,Person,female,00:04:52,english,Manuel,new,,,
Feliz Navidad,José Feliciano,1970,Person,male,00:03:00,"spanish,english",Manuel,new,20221206,1.792,xmas
Float On,Modest Mouse,2004,Group,Male,00:03:28,english,Bernard,new,20230110,3.473,
Flowers,Miley Cyrus,2023,Person,female,00:03:16,english,Bao,new,20231003,2.633,"regular,womens,pride"
Flowers Survive My Man,"Gloria Gaynor, Miley Cyrus, Bruno Mars",2023,Group,duet,00:03:00,english,Bao,new,20230516,,
Folsom Prison Blues,Johnny Cash,1955,Person,male,00:02:35,english,Manuel,old,20211005,1.379,regular
Freedom! '90 (Edit),George Michael,1990,Person,male,00:05:18,english,Manuel,new,20230620,2.664,pride
Friday I'm In Love,The Cure,1992,Group,male,00:03:35,english,Manuel,old,20211012,1.952,"regular,valentines"
Fuck Her Gently,Tenacious D,2001,Group,male,00:02:00,english,Bernard,off,20220426,2.791,"regular,valentines"
Fuck You,Cee Lo Green,2010,Person,male,00:03:43,english,Manuel,old,20230926,2.382,regular
Gangsta's Paradise,"Coolio, L.V.",1995,Person,male,00:04:00,english,Manuel,new,20221004,2.915,regular
Ghostbusters,Ray Parker Jr.,1984,Person,male,00:03:58,english,Manuel,new,20211102,3.946,"halloween,temp"
Give Peace A Chance,Plastic Ono Band,1969,Group,male,00:04:40,english,Bernard,new,20220301,4.732,peace
Grace Kelly,MIKA,2007,Person,male,00:02:56,english,Jacques,new,20230620,3.863,pride
Groove Is in the Heart (in G),Deee-Lite,1990,Group,female,00:03:48,english,Manuel,new,,,
Hand in My Pocket,Alanis Morissette,1995,Person,female,00:03:39,english,Manuel,old,20211102,0.929,"regular,womens,pride"
Happy Birthday To You (in D),Traditional,1893,Group,ensemble,00:00:20,english,Jacques,off,20220913,0.97,"regular,valentines,womens,paddys,pride,xmas,peace"
Happy Xmas (War is Over),"John Lennon, Yoko Ono",1971,Person,duet,00:03:20,english,Manuel,new,20221206,2.738,xmas
Hate To Say I Told You So,The Hives,2000,Group,male,00:03:21,english,Jacques,new,20220322,1.713,
Heartbeats,The Knife,2004,Group,female,00:03:50,english,Jen,new,,,
Here Comes the Morning,Ukulele Tuesday,2023,Group,female,00:04:05,english,Manuel,new,,,
Heroes (single version),David Bowie,1977,Person,male,00:03:54,english,Manuel,new,20220426,1.431,"regular,pride"
Hey Jude,The Baotles,1968,Group,male,00:06:50,english,Manuel,old,20211012,2.935,"regular,valentines"
Hey Ya,OutKast,2003,Group,male,00:03:56,english,Adelaide,off,20240702,1.457,us
Highway to Hell,AC/DC,1979,Group,male,00:03:28,english,Manuel,off,20221101,2.411,regular
Ho Hey,The Lumineers,2012,Group,male,00:02:43,english,Jacques,off,20220816,1.142,"regular,valentines"
Holding Out for a Hero,Bonnie Tyler,1986,Person,female,00:04:18,english,Manuel,new,20220607,2.937,"regular,valentines,womens,pride"
Hot N Cold,Katy Perry,2007,Person,female,00:03:32,english,Adelaide,old,20220531,1.539,"regular,valentines,womens"
Hotel California,The Eagles,1977,Group,male,00:06:05,english,Manuel,old,20220607,2.835,regular
Hotel Yorba,The White Stripes,2001,Group,male,00:02:05,english,Jacques,new,20220208,1.065,"regular,valentines"
House Of Gold,Twenty One Pilots,2011,Group,male,00:02:40,english,Bernard,off,20220301,1.651,regular
House of the Rising Sun,The Animals,1964,Group,male,00:04:21,english,Manuel,old,20211012,2.875,regular
Hysteria,Muse,2003,Group,male,00:03:44,english,Manuel,new,20221101,,
I Feel Love,Donna Summer,1979,Person,female,00:03:22,english,Manuel,new,20230613,1.829,"valentines,pride"
I Kissed A Girl,Katy Perry,2008,Person,female,00:02:58,english,Manuel,new,20230613,1.295,"regular,valentines,womens,pride"
I Love It (feat. Charli XCX),Icona Pop,2012,Group,female,00:02:32,english,Manuel,new,20230307,3.669,"regular,valentines,womens,pride"
I Love Rock 'N Roll,Joan Jett & The Blackhearts,2015,Group,female,00:02:54,english,Bernard,new,,3.62,
I Love You Always Forever,Donna Lewis,1996,Person,female,00:03:43,english,Manuel,new,,2.346,
I Only Want To Be With You,Dusty Springfield,1963,Person,female,00:02:32,english,Manuel,old,20230307,2.11,"regular,valentines,womens,pride"
I Say a Little Prayer,Aretha Franklin,1968,Person,female,00:03:30,english,Manuel,new,20240625,,pride
I Think We're Alone Now,Tommy James & The Shondells,1966,Group,male,00:02:12,english,Bernard,old,20211116,2.626,"valentines,pride"
I Want to Break Free,Queen,1984,Group,male,00:02:58,english,Manuel,old,20220301,3.775,"regular,pride"
I Will Survive,Gloria Gaynor,1978,Person,female,00:03:12,english,Manuel,old,20211130,1.912,"regular,valentines,womens,pride"
I'm On Fire,Bruce Springsteen,1984,Person,male,00:02:26,english,Manuel,new,20231024,3.172,valentines
I'm Shipping Up To Boston,Dropkick Murphys,2005,Group,male,00:02:30,english,Manuel,new,,,
Imagine,John Lennon,1971,Person,male,00:02:58,english,Manuel,old,20211102,2.02,"regular,peace"
In Bloom,Nirvana,1994,Group,male,00:04:12,english,Bernard,new,20211130,3.608,"regular,pride"
In Too Deep,Sum 41,2001,Group,male,00:03:26,english,Manuel,new,,,
Island In The Sun,Weezer,2001,Group,male,00:03:20,english,Bernard,new,20220517,1.699,regular
Islands in the Stream,"Dolly Parton, Kenny Rogers",1983,Person,duet,00:04:02,english,Manuel,new,,,
It Must Have Been Love,Roxette,1990,Group,female,00:04:16,english,Manuel,new,,3.339,
I’ve Been Everywhere,Johnny Cash,1959,Person,male,00:02:50,english,Manuel,new,,,
Je t'aime... moi non plus,Jane Birkin & Serge Gainsbourg,1969,Person,male,00:04:28,french,Bernard,new,20230718,2.603,"valentines,bastille"
Jeremy,Pearl Jam,1991,Group,male,00:05:12,english,Manuel,new,20221101,1.533,regular
Jingle Bell Rock,Bobby Helms,1957,Person,male,00:02:06,english,Manuel,new,20221206,3.62,xmas
Jolene,Dolly Parton,1973,Person,female,00:02:36,english,Bao,old,20211005,3.583,"regular,valentines,womens,pride"
Jump in the Line,Harry Belafonte,1961,Person,male,00:03:36,english,Bernard,off,20220208,1.94,regular
Just A Girl,No Doubt,1995,Group,female,00:03:16,english,Bernard,off,20211116,2.373,"regular,womens"
Just Can't Get Enough,Depeche Mode,1981,Group,male,00:03:30,english,Manuel,new,20211123,2.07,"regular,valentines,pride"
Karma Chameleon,Culture Club,1983,Group,male,00:03:52,english,Manuel,old,20220301,2.993,"regular,pride"
Kids,MGMT,2005,Group,male,00:04:50,english,Adelaide,old,20220201,3.277,regular
Kids in America,Kim Wilde,1981,Person,female,00:03:30,english,Manuel,old,20230307,3.05,"regular,womens"
Kiss/Mustang Sally Medley,Prince/The Commitments,1966,Group,male,00:05:30,english,Manuel,off,20220315,3.897,"regular,valentines,pride"
L'italiano,Toto Cutugno,1983,Person,male,00:03:52,italian,Manuel,new,20221129,3.02,monopolele
